sweep,R,T,W
510,1,1,0.785037
510,1,2,0.6207
510,1,3,0.491326
510,2,1,0.629335
510,2,2,0.413036
510,2,3,0.293954
520,1,1,0.790499
520,1,2,0.623774
520,1,3,0.491017
520,2,1,0.631583
520,2,2,0.411192
520,2,3,0.279953
530,1,1,0.773593
530,1,2,0.617678
530,1,3,0.488003
530,2,1,0.621227
530,2,2,0.410037
530,2,3,0.275933
540,1,1,0.780109
540,1,2,0.624898
540,1,3,0.51411
540,2,1,0.64
540,2,2,0.448643
540,2,3,0.299882
550,1,1,0.781513
550,1,2,0.634294
550,1,3,0.518268
550,2,1,0.626689
550,2,2,0.416783
550,2,3,0.284594
560,1,1,0.791425
560,1,2,0.643371
560,1,3,0.515565
560,2,1,0.645729
560,2,2,0.463662
560,2,3,0.339968
570,1,1,0.788458
570,1,2,0.631267
570,1,3,0.518537
570,2,1,0.632012
570,2,2,0.419887
570,2,3,0.287746
580,1,1,0.781066
580,1,2,0.63597
580,1,3,0.517443
580,2,1,0.62521
580,2,2,0.427967
580,2,3,0.304654
590,1,1,0.792383
590,1,2,0.647811
590,1,3,0.541927
590,2,1,0.643289
590,2,2,0.452826
590,2,3,0.333656
600,1,1,0.787736
600,1,2,0.630594
600,1,3,0.535633
600,2,1,0.629298
600,2,2,0.405918
600,2,3,0.294068
610,1,1,0.801308
610,1,2,0.654059
610,1,3,0.526277
610,2,1,0.669841
610,2,2,0.477855
610,2,3,0.352102
620,1,1,0.804518
620,1,2,0.669606
620,1,3,0.568127
620,2,1,0.669881
620,2,2,0.491156
620,2,3,0.377179
630,1,1,0.795903
630,1,2,0.675212
630,1,3,0.564827
630,2,1,0.645624
630,2,2,0.523257
630,2,3,0.417685
640,1,1,0.786864
640,1,2,0.638043
640,1,3,0.502026
640,2,1,0.624953
640,2,2,0.43811
640,2,3,0.313142
650,1,1,0.792038
650,1,2,0.64329
650,1,3,0.526643
650,2,1,0.648557
650,2,2,0.446745
650,2,3,0.327208
660,1,1,0.798347
660,1,2,0.649076
660,1,3,0.531209
660,2,1,0.652424
660,2,2,0.456639
660,2,3,0.326947
670,1,1,0.776741
670,1,2,0.649018
670,1,3,0.554272
670,2,1,0.625044
670,2,2,0.465063
670,2,3,0.367928
680,1,1,0.794648
680,1,2,0.64875
680,1,3,0.526311
680,2,1,0.656643
680,2,2,0.489021
680,2,3,0.383383
690,1,1,0.785477
690,1,2,0.666107
690,1,3,0.550028
690,2,1,0.618607
690,2,2,0.46587
690,2,3,0.330492
700,1,1,0.803123
700,1,2,0.657927
700,1,3,0.551587
700,2,1,0.646799
700,2,2,0.452299
700,2,3,0.329225
710,1,1,0.783302
710,1,2,0.645978
710,1,3,0.544296
710,2,1,0.632205
710,2,2,0.44357
710,2,3,0.300255
720,1,1,0.787701
720,1,2,0.656836
720,1,3,0.552221
720,2,1,0.637217
720,2,2,0.468659
720,2,3,0.372858
730,1,1,0.791426
730,1,2,0.634731
730,1,3,0.533114
730,2,1,0.631202
730,2,2,0.412821
730,2,3,0.298023
740,1,1,0.801907
740,1,2,0.676662
740,1,3,0.572922
740,2,1,0.650314
740,2,2,0.480323
740,2,3,0.385687
750,1,1,0.803487
750,1,2,0.668591
750,1,3,0.567425
750,2,1,0.669205
750,2,2,0.489522
750,2,3,0.378346
760,1,1,0.806428
760,1,2,0.667779
760,1,3,0.56655
760,2,1,0.664926
760,2,2,0.471585
760,2,3,0.357207
770,1,1,0.788062
770,1,2,0.643112
770,1,3,0.528412
770,2,1,0.652654
770,2,2,0.455075
770,2,3,0.333072
780,1,1,0.775668
780,1,2,0.627341
780,1,3,0.515965
780,2,1,0.623341
780,2,2,0.415471
780,2,3,0.307228
790,1,1,0.778525
790,1,2,0.630292
790,1,3,0.514579
790,2,1,0.627537
790,2,2,0.433066
790,2,3,0.31906
800,1,1,0.780822
800,1,2,0.6083
800,1,3,0.489181
800,2,1,0.64624
800,2,2,0.445655
800,2,3,0.325322
810,1,1,0.782058
810,1,2,0.630617
810,1,3,0.515618
810,2,1,0.631871
810,2,2,0.43495
810,2,3,0.314801
820,1,1,0.792275
820,1,2,0.653558
820,1,3,0.548348
820,2,1,0.643573
820,2,2,0.432113
820,2,3,0.307909
830,1,1,0.787144
830,1,2,0.617428
830,1,3,0.472835
830,2,1,0.638566
830,2,2,0.409508
830,2,3,0.269543
840,1,1,0.800539
840,1,2,0.664514
840,1,3,0.559095
840,2,1,0.656608
840,2,2,0.469376
840,2,3,0.354227
850,1,1,0.788398
850,1,2,0.63816
850,1,3,0.504267
850,2,1,0.634963
850,2,2,0.442685
850,2,3,0.309645
860,1,1,0.788522
860,1,2,0.651988
860,1,3,0.54935
860,2,1,0.644918
860,2,2,0.463754
860,2,3,0.336835
870,1,1,0.794279
870,1,2,0.640741
870,1,3,0.531927
870,2,1,0.647519
870,2,2,0.45513
870,2,3,0.339303
880,1,1,0.787831
880,1,2,0.604407
880,1,3,0.471356
880,2,1,0.621593
880,2,2,0.384467
880,2,3,0.247959
890,1,1,0.775878
890,1,2,0.616338
890,1,3,0.52059
890,2,1,0.621918
890,2,2,0.390202
890,2,3,0.294823
900,1,1,0.776754
900,1,2,0.629011
900,1,3,0.509964
900,2,1,0.614072
900,2,2,0.400669
900,2,3,0.267835
910,1,1,0.778653
910,1,2,0.611502
910,1,3,0.477498
910,2,1,0.625913
910,2,2,0.401849
910,2,3,0.277867
920,1,1,0.756807
920,1,2,0.583434
920,1,3,0.46725
920,2,1,0.593094
920,2,2,0.378756
920,2,3,0.269582
930,1,1,0.779074
930,1,2,0.62942
930,1,3,0.519287
930,2,1,0.623432
930,2,2,0.44179
930,2,3,0.330088
940,1,1,0.794381
940,1,2,0.635813
940,1,3,0.513469
940,2,1,0.667596
940,2,2,0.483999
940,2,3,0.357859
950,1,1,0.801099
950,1,2,0.636851
950,1,3,0.520122
950,2,1,0.665054
950,2,2,0.46039
950,2,3,0.34275
960,1,1,0.787122
960,1,2,0.647317
960,1,3,0.514857
960,2,1,0.643104
960,2,2,0.443962
960,2,3,0.287684
970,1,1,0.797573
970,1,2,0.658866
970,1,3,0.556124
970,2,1,0.661196
970,2,2,0.47048
970,2,3,0.357092
980,1,1,0.784058
980,1,2,0.61384
980,1,3,0.504335
980,2,1,0.62959
980,2,2,0.421661
980,2,3,0.317323
990,1,1,0.797562
990,1,2,0.660453
990,1,3,0.535733
990,2,1,0.643573
990,2,2,0.474795
990,2,3,0.352384
1000,1,1,0.795742
1000,1,2,0.648992
1000,1,3,0.530908
1000,2,1,0.663671
1000,2,2,0.462834
1000,2,3,0.336578
1010,1,1,0.798262
1010,1,2,0.655074
1010,1,3,0.557023
1010,2,1,0.656096
1010,2,2,0.473427
1010,2,3,0.3527
1020,1,1,0.777838
1020,1,2,0.642477
1020,1,3,0.535863
1020,2,1,0.625944
1020,2,2,0.453754
1020,2,3,0.352552
1030,1,1,0.764741
1030,1,2,0.615283
1030,1,3,0.516412
1030,2,1,0.615741
1030,2,2,0.424992
1030,2,3,0.317638
1040,1,1,0.769835
1040,1,2,0.596213
1040,1,3,0.453292
1040,2,1,0.619688
1040,2,2,0.419037
1040,2,3,0.272926
1050,1,1,0.772449
1050,1,2,0.624949
1050,1,3,0.507984
1050,2,1,0.593981
1050,2,2,0.393382
1050,2,3,0.256282
1060,1,1,0.795783
1060,1,2,0.659847
1060,1,3,0.549421
1060,2,1,0.632832
1060,2,2,0.422191
1060,2,3,0.27892
1070,1,1,0.797094
1070,1,2,0.64763
1070,1,3,0.536875
1070,2,1,0.66866
1070,2,2,0.478509
1070,2,3,0.354702
1080,1,1,0.78394
1080,1,2,0.64723
1080,1,3,0.553796
1080,2,1,0.627883
1080,2,2,0.466554
1080,2,3,0.349458
1090,1,1,0.772925
1090,1,2,0.624335
1090,1,3,0.503022
1090,2,1,0.606122
1090,2,2,0.397404
1090,2,3,0.257959
1100,1,1,0.796975
1100,1,2,0.636887
1100,1,3,0.519356
1100,2,1,0.666987
1100,2,2,0.462716
1100,2,3,0.334607
1110,1,1,0.789903
1110,1,2,0.654117
1110,1,3,0.522816
1110,2,1,0.654424
1110,2,2,0.457407
1110,2,3,0.318366
1120,1,1,0.783829
1120,1,2,0.630705
1120,1,3,0.518256
1120,2,1,0.624181
1120,2,2,0.395645
1120,2,3,0.25078
1130,1,1,0.811816
1130,1,2,0.679339
1130,1,3,0.567861
1130,2,1,0.678716
1130,2,2,0.489127
1130,2,3,0.349971
1140,1,1,0.799065
1140,1,2,0.642912
1140,1,3,0.522869
1140,2,1,0.645844
1140,2,2,0.431881
1140,2,3,0.302712
1150,1,1,0.804227
1150,1,2,0.668514
1150,1,3,0.5645
1150,2,1,0.668414
1150,2,2,0.495932
1150,2,3,0.38778
1160,1,1,0.784228
1160,1,2,0.621998
1160,1,3,0.504462
1160,2,1,0.663908
1160,2,2,0.457423
1160,2,3,0.324406
1170,1,1,0.796635
1170,1,2,0.651945
1170,1,3,0.540878
1170,2,1,0.653372
1170,2,2,0.472061
1170,2,3,0.327444
1180,1,1,0.773065
1180,1,2,0.610132
1180,1,3,0.491189
1180,2,1,0.622131
1180,2,2,0.418956
1180,2,3,0.293291
1190,1,1,0.790372
1190,1,2,0.625584
1190,1,3,0.511243
1190,2,1,0.635661
1190,2,2,0.437439
1190,2,3,0.306492
1200,1,1,0.78492
1200,1,2,0.640939
1200,1,3,0.529796
1200,2,1,0.627861
1200,2,2,0.42193
1200,2,3,0.302961
1210,1,1,0.801747
1210,1,2,0.66515
1210,1,3,0.561472
1210,2,1,0.655425
1210,2,2,0.470621
1210,2,3,0.341221
1220,1,1,0.790753
1220,1,2,0.632827
1220,1,3,0.516657
1220,2,1,0.655362
1220,2,2,0.45807
1220,2,3,0.333997
1230,1,1,0.790554
1230,1,2,0.642942
1230,1,3,0.535229
1230,2,1,0.667354
1230,2,2,0.483232
1230,2,3,0.368835
1240,1,1,0.783458
1240,1,2,0.631683
1240,1,3,0.540219
1240,2,1,0.639335
1240,2,2,0.439728
1240,2,3,0.3371
1250,1,1,0.809332
1250,1,2,0.664631
1250,1,3,0.543642
1250,2,1,0.660684
1250,2,2,0.445675
1250,2,3,0.272618
1260,1,1,0.782638
1260,1,2,0.623472
1260,1,3,0.502666
1260,2,1,0.63762
1260,2,2,0.432864
1260,2,3,0.301662
1270,1,1,0.791437
1270,1,2,0.636712
1270,1,3,0.51107
1270,2,1,0.653886
1270,2,2,0.462511
1270,2,3,0.332098
1280,1,1,0.793832
1280,1,2,0.644443
1280,1,3,0.534605
1280,2,1,0.650083
1280,2,2,0.429913
1280,2,3,0.308703
1290,1,1,0.783106
1290,1,2,0.648716
1290,1,3,0.548556
1290,2,1,0.627044
1290,2,2,0.447401
1290,2,3,0.317035
1300,1,1,0.785095
1300,1,2,0.621216
1300,1,3,0.497038
1300,2,1,0.634897
1300,2,2,0.430427
1300,2,3,0.28704
1310,1,1,0.803165
1310,1,2,0.665824
1310,1,3,0.558968
1310,2,1,0.663659
1310,2,2,0.491654
1310,2,3,0.370088
1320,1,1,0.779111
1320,1,2,0.609469
1320,1,3,0.474269
1320,2,1,0.63103
1320,2,2,0.426048
1320,2,3,0.265834
1330,1,1,0.786985
1330,1,2,0.659798
1330,1,3,0.534029
1330,2,1,0.623297
1330,2,2,0.456918
1330,2,3,0.304447
1340,1,1,0.782467
1340,1,2,0.62534
1340,1,3,0.501255
1340,2,1,0.65234
1340,2,2,0.453711
1340,2,3,0.298471
1350,1,1,0.781786
1350,1,2,0.630432
1350,1,3,0.525514
1350,2,1,0.628302
1350,2,2,0.43787
1350,2,3,0.32632
1360,1,1,0.778582
1360,1,2,0.599633
1360,1,3,0.475477
1360,2,1,0.625601
1360,2,2,0.433249
1360,2,3,0.316992
1370,1,1,0.796787
1370,1,2,0.674588
1370,1,3,0.57133
1370,2,1,0.643828
1370,2,2,0.473329
1370,2,3,0.374715
1380,1,1,0.8054
1380,1,2,0.664033
1380,1,3,0.545988
1380,2,1,0.657295
1380,2,2,0.468496
1380,2,3,0.357812
1390,1,1,0.788176
1390,1,2,0.639678
1390,1,3,0.525193
1390,2,1,0.646219
1390,2,2,0.4668
1390,2,3,0.331999
1400,1,1,0.8079
1400,1,2,0.672939
1400,1,3,0.567838
1400,2,1,0.678144
1400,2,2,0.493303
1400,2,3,0.36507
1410,1,1,0.776096
1410,1,2,0.611609
1410,1,3,0.484915
1410,2,1,0.630387
1410,2,2,0.408559
1410,2,3,0.280058
1420,1,1,0.786186
1420,1,2,0.625624
1420,1,3,0.510788
1420,2,1,0.649208
1420,2,2,0.440822
1420,2,3,0.313338
1430,1,1,0.767552
1430,1,2,0.618133
1430,1,3,0.493075
1430,2,1,0.606139
1430,2,2,0.407591
1430,2,3,0.283317
1440,1,1,0.785246
1440,1,2,0.622523
1440,1,3,0.512061
1440,2,1,0.635627
1440,2,2,0.426005
1440,2,3,0.336539
1450,1,1,0.7807
1450,1,2,0.629624
1450,1,3,0.520937
1450,2,1,0.642024
1450,2,2,0.4447
1450,2,3,0.333158
1460,1,1,0.784179
1460,1,2,0.640716
1460,1,3,0.516153
1460,2,1,0.652125
1460,2,2,0.469658
1460,2,3,0.323397
1470,1,1,0.782343
1470,1,2,0.623693
1470,1,3,0.496379
1470,2,1,0.617197
1470,2,2,0.400472
1470,2,3,0.254083
1480,1,1,0.781235
1480,1,2,0.640922
1480,1,3,0.538872
1480,2,1,0.625761
1480,2,2,0.425296
1480,2,3,0.310144
1490,1,1,0.774918
1490,1,2,0.611138
1490,1,3,0.491073
1490,2,1,0.620399
1490,2,2,0.406816
1490,2,3,0.284218
1500,1,1,0.783466
1500,1,2,0.628027
1500,1,3,0.497739
1500,2,1,0.637893
1500,2,2,0.425423
1500,2,3,0.301256
1510,1,1,0.792611
1510,1,2,0.639408
1510,1,3,0.51933
1510,2,1,0.658532
1510,2,2,0.465663
1510,2,3,0.334137
1520,1,1,0.796388
1520,1,2,0.679746
1520,1,3,0.572357
1520,2,1,0.638782
1520,2,2,0.476212
1520,2,3,0.331579
1530,1,1,0.807675
1530,1,2,0.683502
1530,1,3,0.586616
1530,2,1,0.67367
1530,2,2,0.494342
1530,2,3,0.37422
1540,1,1,0.800878
1540,1,2,0.660165
1540,1,3,0.555668
1540,2,1,0.664976
1540,2,2,0.459258
1540,2,3,0.333941
1550,1,1,0.787151
1550,1,2,0.637938
1550,1,3,0.509683
1550,2,1,0.63774
1550,2,2,0.453616
1550,2,3,0.317444
1560,1,1,0.79783
1560,1,2,0.650446
1560,1,3,0.523357
1560,2,1,0.640827
1560,2,2,0.461806
1560,2,3,0.338987
1570,1,1,0.795879
1570,1,2,0.65012
1570,1,3,0.529539
1570,2,1,0.630467
1570,2,2,0.428134
1570,2,3,0.289488
1580,1,1,0.789693
1580,1,2,0.633098
1580,1,3,0.5185
1580,2,1,0.645266
1580,2,2,0.449141
1580,2,3,0.320775
1590,1,1,0.790889
1590,1,2,0.651743
1590,1,3,0.52564
1590,2,1,0.642185
1590,2,2,0.471655
1590,2,3,0.338906
1600,1,1,0.773691
1600,1,2,0.598126
1600,1,3,0.447879
1600,2,1,0.625291
1600,2,2,0.418314
1600,2,3,0.266918
1610,1,1,0.807354
1610,1,2,0.666019
1610,1,3,0.539933
1610,2,1,0.659323
1610,2,2,0.486023
1610,2,3,0.3467
1620,1,1,0.796876
1620,1,2,0.651462
1620,1,3,0.544402
1620,2,1,0.655067
1620,2,2,0.450442
1620,2,3,0.325379
1630,1,1,0.789818
1630,1,2,0.642614
1630,1,3,0.495892
1630,2,1,0.630233
1630,2,2,0.404591
1630,2,3,0.244176
1640,1,1,0.788068
1640,1,2,0.642547
1640,1,3,0.525371
1640,2,1,0.626928
1640,2,2,0.432665
1640,2,3,0.291451
1650,1,1,0.795536
1650,1,2,0.65272
1650,1,3,0.519787
1650,2,1,0.65358
1650,2,2,0.476964
1650,2,3,0.325778
1660,1,1,0.798451
1660,1,2,0.646155
1660,1,3,0.519501
1660,2,1,0.654312
1660,2,2,0.448412
1660,2,3,0.300927
1670,1,1,0.801689
1670,1,2,0.650956
1670,1,3,0.521643
1670,2,1,0.667697
1670,2,2,0.492368
1670,2,3,0.354715
1680,1,1,0.800168
1680,1,2,0.655791
1680,1,3,0.564416
1680,2,1,0.672979
1680,2,2,0.486304
1680,2,3,0.381399
1690,1,1,0.806661
1690,1,2,0.665945
1690,1,3,0.569149
1690,2,1,0.67678
1690,2,2,0.492013
1690,2,3,0.40635
1700,1,1,0.79922
1700,1,2,0.656154
1700,1,3,0.545476
1700,2,1,0.670347
1700,2,2,0.492043
1700,2,3,0.363838
1710,1,1,0.800598
1710,1,2,0.677835
1710,1,3,0.585375
1710,2,1,0.647076
1710,2,2,0.493726
1710,2,3,0.395143
1720,1,1,0.780117
1720,1,2,0.635882
1720,1,3,0.512372
1720,2,1,0.63023
1720,2,2,0.463629
1720,2,3,0.346796
1730,1,1,0.799914
1730,1,2,0.662433
1730,1,3,0.533842
1730,2,1,0.674982
1730,2,2,0.494524
1730,2,3,0.384741
1740,1,1,0.814936
1740,1,2,0.688021
1740,1,3,0.59088
1740,2,1,0.678889
1740,2,2,0.498239
1740,2,3,0.380015
1750,1,1,0.797193
1750,1,2,0.669052
1750,1,3,0.560371
1750,2,1,0.663125
1750,2,2,0.506187
1750,2,3,0.383666
1760,1,1,0.781876
1760,1,2,0.63796
1760,1,3,0.536535
1760,2,1,0.612992
1760,2,2,0.445159
1760,2,3,0.336918
1770,1,1,0.790756
1770,1,2,0.646633
1770,1,3,0.510296
1770,2,1,0.633419
1770,2,2,0.439231
1770,2,3,0.312174
1780,1,1,0.789702
1780,1,2,0.638768
1780,1,3,0.536575
1780,2,1,0.653824
1780,2,2,0.454437
1780,2,3,0.348755
1790,1,1,0.784636
1790,1,2,0.644914
1790,1,3,0.522658
1790,2,1,0.64402
1790,2,2,0.45756
1790,2,3,0.352446
1800,1,1,0.776534
1800,1,2,0.634731
1800,1,3,0.513495
1800,2,1,0.623842
1800,2,2,0.430532
1800,2,3,0.295577
1810,1,1,0.790514
1810,1,2,0.646154
1810,1,3,0.536326
1810,2,1,0.630401
1810,2,2,0.424712
1810,2,3,0.308538
1820,1,1,0.771626
1820,1,2,0.625994
1820,1,3,0.522822
1820,2,1,0.615356
1820,2,2,0.422314
1820,2,3,0.318184
1830,1,1,0.791351
1830,1,2,0.620759
1830,1,3,0.496836
1830,2,1,0.656696
1830,2,2,0.440438
1830,2,3,0.301964
1840,1,1,0.799584
1840,1,2,0.64482
1840,1,3,0.535423
1840,2,1,0.663839
1840,2,2,0.432737
1840,2,3,0.299109
1850,1,1,0.800566
1850,1,2,0.663249
1850,1,3,0.563785
1850,2,1,0.665138
1850,2,2,0.460811
1850,2,3,0.319587
1860,1,1,0.800992
1860,1,2,0.661827
1860,1,3,0.549828
1860,2,1,0.652853
1860,2,2,0.466921
1860,2,3,0.326542
1870,1,1,0.778549
1870,1,2,0.62852
1870,1,3,0.492591
1870,2,1,0.640441
1870,2,2,0.467188
1870,2,3,0.312449
1880,1,1,0.769764
1880,1,2,0.601174
1880,1,3,0.464335
1880,2,1,0.614886
1880,2,2,0.424189
1880,2,3,0.308323
1890,1,1,0.785094
1890,1,2,0.63062
1890,1,3,0.505796
1890,2,1,0.622777
1890,2,2,0.414883
1890,2,3,0.297089
1900,1,1,0.781349
1900,1,2,0.636319
1900,1,3,0.513055
1900,2,1,0.611022
1900,2,2,0.419472
1900,2,3,0.291206
1910,1,1,0.767906
1910,1,2,0.610407
1910,1,3,0.49427
1910,2,1,0.597636
1910,2,2,0.376754
1910,2,3,0.264972
1920,1,1,0.774505
1920,1,2,0.581177
1920,1,3,0.438932
1920,2,1,0.61078
1920,2,2,0.370625
1920,2,3,0.243233
1930,1,1,0.802739
1930,1,2,0.660667
1930,1,3,0.565206
1930,2,1,0.659159
1930,2,2,0.44188
1930,2,3,0.335381
1940,1,1,0.808984
1940,1,2,0.668455
1940,1,3,0.553245
1940,2,1,0.663768
1940,2,2,0.463059
1940,2,3,0.315253
1950,1,1,0.794228
1950,1,2,0.657404
1950,1,3,0.548077
1950,2,1,0.636748
1950,2,2,0.461206
1950,2,3,0.347639
1960,1,1,0.783255
1960,1,2,0.632163
1960,1,3,0.515827
1960,2,1,0.633404
1960,2,2,0.447084
1960,2,3,0.331739
1970,1,1,0.796636
1970,1,2,0.66736
1970,1,3,0.574812
1970,2,1,0.655875
1970,2,2,0.475662
1970,2,3,0.34827
1980,1,1,0.805346
1980,1,2,0.673351
1980,1,3,0.592838
1980,2,1,0.658826
1980,2,2,0.473163
1980,2,3,0.35461
1990,1,1,0.785082
1990,1,2,0.64073
1990,1,3,0.524475
1990,2,1,0.629621
1990,2,2,0.452843
1990,2,3,0.354305
2000,1,1,0.785024
2000,1,2,0.614586
2000,1,3,0.493426
2000,2,1,0.640956
2000,2,2,0.426265
2000,2,3,0.31693
2010,1,1,0.794588
2010,1,2,0.665914
2010,1,3,0.571897
2010,2,1,0.648041
2010,2,2,0.464951
2010,2,3,0.357866
2020,1,1,0.787273
2020,1,2,0.658377
2020,1,3,0.55222
2020,2,1,0.629362
